role,first_name,last_name,email,phone_number,is_staff,is_superadmin
admin,manny,manny,manny@email.com,121212,TRUE,
rider,John,Doe,john.doe@example.com,1234567890,FALSE,
driver,Jane,Smith,jane.smith@example.com,987654321,FALSE,
rider,Alice,Johnson,alice.johnson@example.com,1112223333,FALSE,
driver,Bob,Brown,bob.brown@example.com,4445556666,FALSE,
rider,Charlie,Davis,charlie.davis@example.com,7778889999,FALSE,
driver,David,Wilson,david.wilson@example.com,1112222,FALSE,
rider,Eve,Miller,eve.miller@example.com,3334445555,FALSE,
driver,Frank,Moore,frank.moore@example.com,6667778888,FALSE,
rider,Grace,Taylor,grace.taylor@example.com,9990001111,FALSE,
driver,Hank,Anderson,hank.anderson@example.com,2223334444,FALSE,
